expo,table,project,link,sponsors
1,1,Parrot Boi,,Secret Humour Prize
1,2,Woku no Pico,,
1,3,Boo!,https://github.com/NivedithaK/Boo,
1,4,Space Jousting,,Secret Humour Prize
1,5,DangerSense,https://burntpotatoes.github.io/safety-way/,"Economic Development Prize, Secret Humour Prize"
1,6,fastr,,Economic Development Prize
1,7,M00dReader,,
1,8,Wordesizer,,
1,9,Audify,,
1,10,E-Mall,https://github.com/Jynkiz/E-Mall,Secret Humour Prize
1,11,HighScheduler,https://mihranmashhud.github.io/HighScheduler/,
1,12,Watt a Waste,,"Economic Development Prize, Secret Humour Prize"
